Sample,Concentration,"""260/280""","""260/230""",RQN,Group
157,56.93,2.44,2.73,9.9,Condition3
158,57.97,2.49,2.87,10,Condition3
159,67.68,2.23,3.15,10,Condition3
160,63.49,2.27,3.13,10,Condition3
161,65.72,2.23,2.93,10,Condition3
162,77.97,2.18,3.22,10,Condition3
163,77.22,2.18,3.14,10,Condition3
164,72.18,2.31,3.34,10,Condition3
165,61.59,2.35,3.17,10,Condition3
166,66.34,2.27,3.16,10,Condition3
167,67.84,2.21,3.02,10,Condition3
168,73.1,2.25,3.25,10,Condition3
